PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,RelSpeed,Runner
1,2026/1/31,1,1,矢後,Right,"Suda, Yuki",Left,0,0,0,Fastball,FoulBallFieldable,,133,
2,2026/1/31,1,2,矢後,Right,"Suda, Yuki",Left,0,0,1,Fastball,FoulBallFieldable,,134,
3,2026/1/31,1,3,矢後,Right,"Suda, Yuki",Left,0,0,2,ChangeUp,BallCalled,,120,
4,2026/1/31,1,4,矢後,Right,"Suda, Yuki",Left,0,1,2,Fastball,StrikeSwinging,Out,134,
5,2026/1/31,2,1,矢後,Right,"Ouchi, Aoma",Left,1,0,0,Curveball,StrikeCalled,,114,
6,2026/1/31,2,2,矢後,Right,"Ouchi, Aoma",Left,1,0,1,Curveball,BallCalled,,113,
7,2026/1/31,2,3,矢後,Right,"Ouchi, Aoma",Left,1,1,1,Fastball,BallCalled,,133,
8,2026/1/31,2,4,矢後,Right,"Ouchi, Aoma",Left,1,2,1,Fastball,InPlay,Out,136,
9,2026/1/31,3,1,矢後,Right,"Okanishi, Yuya",Left,2,0,0,Fastball,BallCalled,,134,
10,2026/1/31,3,2,矢後,Right,"Okanishi, Yuya",Left,2,1,0,Curveball,StrikeCalled,,112,
11,2026/1/31,3,3,矢後,Right,"Okanishi, Yuya",Left,2,1,1,Curveball,BallCalled,,112,
12,2026/1/31,3,4,矢後,Right,"Okanishi, Yuya",Left,2,2,1,Fastball,FoulBallFieldable,,133,
13,2026/1/31,3,5,矢後,Right,"Okanishi, Yuya",Left,2,2,2,Fastball,InPlay,Out,136,
14,2026/1/31,1,1,矢後,Right,"Terao, Kensei",Right,0,0,0,Fastball,BallCalled,,136,
15,2026/1/31,1,2,矢後,Right,"Terao, Kensei",Right,0,1,0,Fastball,BallCalled,,137,
16,2026/1/31,1,3,矢後,Right,"Terao, Kensei",Right,0,2,0,Curveball,StrikeCalled,,115,
17,2026/1/31,1,4,矢後,Right,"Terao, Kensei",Right,0,2,1,Curveball,InPlay,Error,114,
18,2026/1/31,2,1,矢後,Right,"Takahashi, Hiroto",Right,0,0,0,Fastball,BallCalled,,136,2
19,2026/1/31,2,2,矢後,Right,"Takahashi, Hiroto",Right,0,1,0,Fastball,BallCalled,,133,2
20,2026/1/31,2,3,矢後,Right,"Takahashi, Hiroto",Right,0,2,0,Fastball,InPlay,Double,,2
21,2026/1/31,3,1,矢後,Right,"Ogata, Mikito",Left,0,0,0,Curveball,BallCalled,,115,2
22,2026/1/31,3,2,矢後,Right,"Ogata, Mikito",Left,0,1,0,Curveball,BallCalled,,115,2
23,2026/1/31,3,3,矢後,Right,"Ogata, Mikito",Left,0,2,0,Fastball,BallCalled,,136,2
24,2026/1/31,3,4,矢後,Right,"Ogata, Mikito",Left,0,3,0,Fastball,BallCalled,Undefined,136,2
25,2026/1/31,4,1,矢後,Right,"Mito, Sota",Left,0,0,0,Fastball,FoulBallFieldable,,136,2
26,2026/1/31,4,2,矢後,Right,"Mito, Sota",Left,0,0,1,Fastball,BallCalled,,132,2
27,2026/1/31,4,3,矢後,Right,"Mito, Sota",Left,0,1,1,Fastball,BallCalled,,133,2
28,2026/1/31,4,4,矢後,Right,"Mito, Sota",Left,0,2,1,Fastball,InPlay,Sacrifice,135,2
29,2026/1/31,5,1,矢後,Right,"Ymane, Juntaro",Right,1,0,0,Fastball,BallCalled,,134,
30,2026/1/31,5,2,矢後,Right,"Ymane, Juntaro",Right,1,1,0,Curveball,StrikeCalled,,116,
31,2026/1/31,5,3,矢後,Right,"Ymane, Juntaro",Right,1,1,1,Curveball,StrikeCalled,,116,
32,2026/1/31,5,4,矢後,Right,"Ymane, Juntaro",Right,1,1,2,ChangeUp,BallCalled,,128,
33,2026/1/31,5,5,矢後,Right,"Ymane, Juntaro",Right,1,2,2,Fastball,FoulBallNotFieldable,,133,
34,2026/1/31,5,6,矢後,Right,"Ymane, Juntaro",Right,1,2,2,Curveball,BallCalled,,115,
35,2026/1/31,5,7,矢後,Right,"Ymane, Juntaro",Right,1,3,2,Curveball,InPlay,Single,117,
36,2026/1/31,6,1,矢後,Right,"Nakamura, Rioto",Right,1,0,0,Fastball,BallCalled,,135,1.3
37,2026/1/31,6,2,矢後,Right,"Nakamura, Rioto",Right,1,1,0,Fastball,StrikeCalled,,133,1.3
38,2026/1/31,6,3,矢後,Right,"Nakamura, Rioto",Right,1,1,1,ChangeUp,StrikeCalled,,127,
39,2026/1/31,6,4,矢後,Right,"Nakamura, Rioto",Right,1,1,2,Curveball,BallCalled,,116,
40,2026/1/31,6,5,矢後,Right,"Nakamura, Rioto",Right,1,2,2,ChangeUp,StrikeCalled,Out,128,
41,2026/1/31,7,1,矢後,Right,"Ogata, Mikito",Left,2,0,0,Fastball,StrikeCalled,,136,
